P2-K108,CONNECTION 9 OPEN NORMAL,,Y033
P3-F1793,P2-L5:S11 NORMAL DISPLAY,,
P3-F1342,TIP EXCHANGE DIRECTIONS TO ROBOT(P1),,
P3-F1331,TIP EXCHANGE OVERTIME(TIP FORMING ON),,EY01B
P3-F1177,ROBOT ALARM,,EY120
P3-F1144,FREQUENCY OF ALARM 12,,EY18F
P3-F1001,OFF CONDITION OF ENDURANCE PB,,
P3-F0594,L1:S21 ALARM DISPLAY,,
P3-F0297,CYCLE TIME (HOME OF PROCESS) R/B-16,,EY22F
P3-F2683,SETTING VALUE EXTRACTION,,
P3-F2573,DEFAULT VALUE ROBOT SETTING,,L033
P3-F2364,MATERIAL HAND CONNECT STATION EXTRACTION,,L138
P3-F2353,DISPLAY PROCESSING  PROCESS SETTING,,
P3-F1132,FREQUENCY OF ALARM 7 (SPARE),,EY262
P3-F1099,TIP EXCHANGE DIRECTIONS(TIME-8)(TIP FORMING OFF),,EY0EB
P3-F0890,L8:S3 DISCONNECTION DISPLAY,,EY139
P3-F0395,L7:S4 NORMAL DISPLAY,,EY23E
P3-F0120,LAMP-OFF STATE IN BLINK CYCLE,,
P3-F0076,CLEAR KEY ENTRY STATE,,
P3-F3981,L1:S44 NORMAL DISPLAY,,
P3-F2044,RESET ROBOT L DISPLAY(33-64),,
P3-F1670,EX.CAR TYPE INTERCHANGE DYSPLAY TERMINAL6,,
P3-F1560,R/B-25 CYCLE TIME MEASUREMENT END,,EY1AC
P3-F0163,MANUAL OPERATION SW34-TIM33,,
P3-F3341,ST INFORMATION(NODE 100),,L165
P3-F2197,PC link child office setup is disregarded.,,Y420
P3-F2164,PC link child office setup is disregarded.,,L04C
P3-F1928,INDIRECT ADDRESS TRANSFER,,
P3-F1372,DIRECTION FOR THE TIP EXCHANGE(TIME-2)(TIP FORMING ON),,EY1FF
P3-F1185,R/B-1 HOME POSITION,,
P3-F1075,CALCULATE P2 INDIRECT ADDRESS,,EY27C
P3-F0096,TURN ON SELECTED PL,,
P3-F3693,DISPLAY P1-L1 ERROR CODE,,
P3-F4683,READ #7 LINK AREA,,
P1-F0087,AC040 ENDURANCE,,
P1-F0140,DISPLAY OUTPUT(FAULT 2),,
P1-F0167,AC013 CAR TYPE SELECTION,,
P1-F0235,LAMP OUTPUT 3,,
P1-F0242,AC023 MAIN INTERLOCK,,
P1-F0295,MODEL CODE TO ANDON,,
P1-F0331,R/B-7 CYCLE TIME(COMPLETION) TO ANDON,,
P1-F0364,PRO.IND.MEMORY REVERSE EXISTENCESETTING,,
P1-F0372,PROD. INDI. FUNCTION START,,
P1-F0449,EVENT MONITOR ALL ACTION PARAMETERS ENABLED,,
P1-F0455,GM MASK (POWER SUPPLY),,
P1-F0529,CAR TYPE CODE BCD 1,,
P1-F0544,LUGE No.(DISPLAY) ,,
P1-F0552,CH1 WRITE ENABLE,,
P1-F0578,CYCLE_DATA ATTRIBUTES CLEAR,,
P1-F0589,MOTION 4 TIME (ADV),,
P1-F0595,MOTION 7 TIME (ADV),,
P1-F0605,MOTION 12 TIME (ADV),,
P1-F0611,MOTION 15 TIME (ADV),,
P1-F0634,MOTION 21 TIME (RET),,
P1-F0648,MOTION 28 TIME (RET),,
P1-F0656,MOTION 32 TIME (RET),,
P1-F0665,MOTION 37 TIME (ADV),,
P1-F0679,MOTION 44 TIME (ADV),,
P1-F0689,MOTION TIME CLEAR,,
P1-F0758,PARTS CONFIRM MASK,,
P2-F4805,To EDC Trend3.JobStatus,,
P2-F4798,To EDC Trend1.TotalResult & TrendData,,
P2-F4773,To EDC Quality-JOB STATUS,,
P2-F4730,To EDC Quality-DATA 2,,
P2-F4714,To EDC Quality-DATA 1,,
P2-F4707,To EDC Quality-DATA 9,,
P2-F4687,To EDC Quality-DATA 4,,
P2-F4678,To EDC Quality-DATA 10,,
P2-F4625,To EDC Quality-DATA 2,,
P2-F4601,To EDC Quality-DATA 8,,
P2-F4584,To EDC Quality-DATA 6,,
P2-F4536,To EDC Quality-DATA 3,,
P2-F4518,To EDC Quality-JOB STATUS,,
P2-F4506,To EDC Quality-DATA 3,,
P2-F4492,To EDC Quality-DATA 4,,
P2-F4475,EDC Tool # Feedback EQ >= Index End #,,
P2-F4469,To EDC Quality.AssyNum2ndINT,,
P2-F4001,I/L-1 STOP POSITION No. CLEAR,,
P2-F4287,I/L-1 STOP POSITION No. CLEAR,,
P2-F3461,CONNECTION 4 RECEPTION DATA TO DATA TRANSFERÅ@DESTINATION TOP ADDLESS,,
P2-F3493,CONNECTION 6 TRANSMISSION DATA(RELAY LINK),,
P2-F4185,I/L-1 STOP POSITION No. CLEAR,,
P2-F2407,I/L-1 STOP POSITION No. CLEAR,,
P2-F3418,CONNECTION 2 TRANSMISSION DATA(REGISTER LINK),,
P2-F2427,I/L-15 STOP POSITION No. CLEAR,,
P2-F3406,CONNECTION 1 RECEPTION DATA(RELAY LINK),,
P2-F0634,STATAS BIT CLEAR,,
P2-F4191,IN-PROCESS AREA No.,,
P2-F3502,CONNECTION 6 RECEPTION DATA(REGISTER LINK),,
P2-F4239,IN-PROCESS AREA No.,,
P2-F3557,CONNECTION 9 RECEPTION DATA TO DATA TRANSFER,,Y250
P2-F4249,IN-PROCESS AREA No.,,
P2-F3523,CONNECTION 7 RECEPTION DATA CLEAR(RELAY LINK),,Y247
P2-F0993,STOP POS.1 PROCESS DATA TRANSFER,,
P2-F1553,STATAS BIT CLEAR,,
P2-F3510,CONNECTION 7 TRANSMISSION DATA TOP ADDLESS,,
P2-F0132,AGVMANUAL OPERATION DISPLAY INDICATION,,
P2-F3475,CONNECTION 5 TRANSMISSION DATA(REGISTER LINK),,
P2-F3398,CONNECTION 1 TRANSMISSION DATA(RELAY LINK),,
P2-F3387,ETHERNET STATUS  RECEPTION DATA TO DATA TRANSFERÅ@DESTINATION TOP ADDLESS,,
P2-F4267,I/L-1 STOP POSITION No. CLEAR,,
P2-F2374,STOP POS.1 PROCESS DATA TRANSFER,,
P2-F3562,CONNECTION 9 RECEPTION DATA CLEAR(REGISTER LINK),,Y246
P3-F3340,L3(PC-LINK):S6 NO CONNECTION,,L110
P3-F2708,EXTRACTION BIT POSITION,,
P3-F2196,PC link child office setup is disregarded.,,Y01D
P3-F1916,ADDRESS EXTENSION TRANSFER,,L0A8
P3-F1184,R/B33-40 CYCLE TIME MEASUREMENT,,
P3-F1074,CALCULATE P1 INDIRECT ADDRESS,,
P3-F0838,L6:S10 NORMAL DISPLAY,,EY226
P3-F4231,L1:S61 NORMAL DISPLAY,,
P3-F4682,READ #6 LINK AREA,,
P3-F3383,L3(PC-LINK):S15 DISCONNECTION DISPLAY,,
P3-F2817,PC link child office setup is disregarded.,,L15C
P3-F2294,ADDRESS EXTENSION TRANSFER,,
P3-F1937,INDIRECT ADDRESS TRANSFER,,L1BD
P3-F1827,K STORAGE,,
P3-F1739,P2-L8:S5 DISCONNECTION DISPLAY,,L112
P3-F1282,DELETE FROM LARGER ONE,,EY22A
P3-F0914,L8:S9 DISCONNECTION DISPLAY,,EY239
P3-F0815,L6:S4 DISCONNECTION DISPLAY,,
P3-F0716,L3:N15 NORMAL DISPLAY,,
P3-F0518,P2-L1 NO ERROR,,
P3-F0490,DOUBLE,,
P3-F3393,FREQUENCY OF ALARM 64,,
P3-F3041,DISPLAY MEMORY ADDRESS,,
P3-F1969,SETTING VALUE EXTRACTION,,
P3-F1958,INDIRECT ADDRESS TRANSFER,,
P3-F1716,P2-L7:S9 NO CONNECTION,,
P3-F1518,CYCLE TIME HOME POSITION R/B-16,,
P3-F0726,L3:N20 NORMAL DISPLAY,,
P3-F0429,P2-L6:N8 NORMAL DISPLAY,,EY0D8
P3-F2826,PC link child office setup is disregarded.,,
P3-F2072,EXTRACTION PALLET CONSECUTIVE NUMBERS,,
P3-F1869,SETTING VALUE EXTRACTION,,L150
P3-F1858,FREQUENCY OF ALARM 48,,
P3-F1847,FREQUENCY OF ALARM 37,,L0C4
P3-F1429,LIGHTING OF TIME-1 LAMP(TIP FORMING ON),,
P3-F1407,TIP EXCHANGE DIRECTIONS(MANU.-4)(TIP FORMING OFF),,EY0B2
P3-F1170,R/B-2 PROCESS COMPLETION,,EY05D
P3-F0945,P2-L4:S2 NORMAL DISPLAY,,EY1A8
P3-F0329,CYCLE TIME (HOME OF PROCESS) R/B-32,,
P3-F2858,PC link child office setup is disregarded.,,
P3-F2759,CLEAR BIT POSITION,,
P3-F1725,P2-L8:S2 NORMAL DISPLAY,,
P3-F1290,TWO TIMES THE HEXADECIMAL PART OFINDIRECT ADDRESS,,EY1CB
P3-F0218,USE TEN-KEY PAD TO ENTER MODEL CODE 1,,
P3-F2869,stop position 4 present,,
P3-F2180,PC link child office setup is disregarded.,,
P3-F1647,RESET ENTER ENTRY BIT,,EY114
P3-F0998,CLEAR UPPER 8 BITS,,EY06A
P3-F0921,L8:S11 NORMAL DISPLAY,,EY129
P3-F0679,L1:S44 NO CONNECTION,,
P3-F0646,L1:S50 ALARM DISPLAY,,
P3-F4738,AGV1 AGV RUNNING Pr INDICATION,,
P3-F1943,BASE OF INDIRECT ADDRESS FOR EL,,
P3-F1800,P2-L5:S12 NO CONNECTION,,Y762
P3-F1745,P2-L8:S7 NORMAL DISPLAY,,L034
P3-F1536,CYCLE TIME HOME POSITION R/B-21,,
P3-F0689,L3:N1 ALARM DISPLAY,,
P3-F0249,READ MODEL CONVERSION TABLE 1,,
P3-F0029,L7:S15 ALARM DISPLAY,,
P3-F3813,P1-L8 NO ERROR,,
P3-F3339,L3(PC-LINK):S6 ALARM DISPLAY,,L0CC
P3-F2745,EXTRACTION BIT STATUS,,Y4BD
P3-F2558,DEFAULT VALUE ROBOT SETTING,,
P3-F2547,COUNT UP ROBOT No. DISPLAY,,L0A6
P3-F1700,P2-L7:S5 NO CONNECTION,,X482
P3-F1667,EX.CAR TYPE INTERCHANGE DYSPLAY TERMINAL3,,
P3-F1634,READ MODEL CODE (EX 5 VEHICLE),,EY1CF
P3-F0974,P2-L5:S1 ALARM DISPLAY,,EY081
P3-F0820,L6:S5 ALARM DISPLAY,,
P3-F0666,L1:S41 DISCONNECTION DISPLAY,,
P3-F0611,L1:S41 DISCONNECTION DISPLAY,,
P3-F0545,L1:S4 NORMAL DISPLAY,,EY087
P3-F0116,ADVANCED END PL (MANUAL 2/3),,
P3-F0105,RETURN END PL (MANUAL 2/3),,
P3-F2469,TRANSFER LIFTER INFORMATION,,X025
P3-F2249,BIT POSITION TRANSFER,,
P3-F2128,PC link child office setup is disregarded.,,X50D
P3-F1622,R/B-57 CYCLE TIME MEASUREMENT END,,EY246
P3-F1567,CYCLE TIME PROCESS COMPLETION RB-32,,EY135
P3-F1556,CYCLE TIME PROCESS COMPLETION RB-28,,EY1CE
P3-F0962,P2-L4:S6 ALARM DISPLAY,,
P3-F0951,P2-L4:S3 DISCONNECTION DISPLAY,,EY09B
P3-F0852,L6:S13 ALARM DISPLAY,,EY10F
P3-F0500,COMMUNICATION ALARM (SLAVE STATION MONITOR),,
P3-F0478,CYCLE TIME(HOME POSITION) R/B-15,,
P3-F4713,AGV1 AGV RUNNING Pr INDICATION,,
P3-F1214,SORTING SUBROUTINE OF ALARM FREQUENCY,,
P3-F2732,EXTRACTION BIT POSITION,,X712
P3-F2237,PC link child office setup is disregarded.,,
P3-F1654,TRANSFE,,EY0BF
P3-F1456,LIGHTING OF MANU.-5 LAMP(TIP FORMING ON),,EY244
P3-F1324,DIRECTION FOR THE TIP EXCHANGE(MANU.-4)(TIP FORMING ON),,EY05F
P3-F0532,P2-L8 NO ERROR,,EY234
P3-F0378,CYCLE TIME (END OF PROCESS) R/B-26,,
P3-F0059,DISPLAY INTERLOCK 1/3 STATE.,,
P3-F3645,PC link child office setup is disregarded.,,
P3-F3887,L1:S6 NORMAL DISPLAY,,
P3-F4129,L1:S25 NO CONNECTION,,
P3-F4657,AGV14 AGV FAULT CODE INDICATION,,
P3-F4679,READ #3 LINK AREA,,
P3-F4723,AGV1 AGV RUNNING Pr INDICATION,,
P3-F2875,CAR TYPE,,
P3-F3325,L3(PC-LINK):S3 NO CONNECTION,,
P3-F3028,DISPLAY MEMORY ADDRESS EXTENSION ,,
P3-F2566,DEFAULT VALUE ROBOT SETTING,,
P3-F2412,MATERIAL HAND UNLOADING OK EXTRACTION(1-32),,L082
P3-F2379,RESET MATERIAL HAND COMPLETED BIT,,L1E5
P3-F1884,EXTRACTION BIT STATUS,,
P3-F1147,FREQUENCY OF ALARM 15,,EY174
P3-F0861,L6:S15 NO CONNECTION,,TR1012
P3-F0597,L1:S22 NORMAL DISPLAY,,
P3-F0575,L1:S11 DISCONNECTION DISPLAY,,
P3-F3941,L1:S42 NO CONNECTION,,
P3-F1245,CONVERSION TABLE TEN-KEY PAD ENTRY SUBROUTINE,,
P3-F3236,TRANSFER PACEMAKER2 U20EE,,L10F
P3-F3214,TRANSFER PACEMAKER1 U20E8,,Y4BE
P3-F3203,MULTI TERMINAL SEQUENCE NO H 1BIT TRANSFER,,X506
P3-F2433,COUNT UP COUNT2,,
P3-F2400,COUNT UP COUNT1,,L16C
P3-F2389,MATERIAL HAND ABNORMAL EXTRACTION(33-64),,L03D
P3-F1751,P2-L8:S8 DISCONNECTION DISPLAY,,
P3-F1520,R/B-12 PROCESS COMPLETION,,
P3-F1355,LIGHTING OF MANU.-1 LAMP(TIP FORMING OFF),,
P3-F1300,EXTRACT DATA BEFORE CONVERSION,,EY154
P3-F1047,PRESS OPERATION MODE PB 9-24,,EY16B
P3-F1014,L7:S53 NORMAL DISPLAY,,EY171
P3-F0310,END OF CYCLE TIME R/B23,,
P3-F0189,MANUAL OPERATION SW61-TIM60,,
P3-F4215,L1:S52 NORMAL DISPLAY,,
P3-F4754,AGV1 AGV RUNNING Pr INDICATION,,
P3-F3147,DISPLAY MEMORY ADDRESS EXTENSION ,,X066
P3-F2773,ROBOT FRAME VALUE MEMORY,,
P3-F2476,ROBOT R/L INDIRECT ADDRESS INITIAL VALUE,,X045
P3-F2443,LIFTER CONNECT STATION EXTRACTION,,
P3-F2311,PC link child office setup is disregarded.,,X485
P3-F2278,ADDRESS EXTENSION TRANSFER,,
P3-F2179,PC link child office setup is disregarded., ,
P3-F2047,SET ROBOT R DISPLAY(33-64),,L037
P3-F1167,MODEL CODE,,EY075
P3-F1112,COUNT-UP = FLASHING,,EY04B
P3-F1002,OPERATION MODE PL,,
P3-F0793,L5:N11 NORMAL DISPLAY,,EY1A4
P3-F0441,P2-L6:N14 NORMAL DISPLAY,,
P3-F0045,L7:S43 ALARM DISPLAY,,
P3-F3895,L1:S7 NORMAL DISPLAY,,
P3-F4005,L1:S44 NO CONNECTION,,
P3-F4665,AGV22 AGV FAULT CODE INDICATION,,
P3-F4764,AGV1 AGV RUNNING Pr INDICATION,,
P3-F2794,SET L LOCATING ROBOT ABNORMAL ,,
P3-F1133,FREQUENCY OF ALARM,,EY25B
P3-F0891,L8:S3 ALARM DISPLAY,,EY128
P3-F0121,ADVANCED PL LAMP ON/BLINK STATE,,EY0AD
P3-F0088,CLEAR LOCATION STORED ENTRY STATE,,
P3-F0077,CLEAR LOCATION STORED ENTRY STATE,,
P3-F4037,L1:S45 NO CONNECTION,,
P3-F2694,INDIRECT ADDRESS TRANSFER,,X520
P3-F2210,PC link child office setup is disregarded.,,X49C
P3-F1594,CYCLE TIME (HOME POSITION) R/B-51,,
P3-F1440,TIME-8 LAMP LIGHTING CONDITION,,
P3-F1341,PRODUCTION COUNT,,
P3-F0692,L3:N3 NORMAL DISPLAY,,
P3-F0164,MANUAL OPERATION SW35-TIM34,,
P3-F0032,L7:S16 NORMAL DISPLAY,,
P3-F4069,L1:S46 NO CONNECTION,,
P3-F2682,INDIRECT ADDRESS TRANSFER,,
P3-F2572,DEFAULT VALUE ROBOT SETTING,,
P3-F2352,FOR WRITE POPUP DISPLAY,,
P3-F2165,PC link child office setup is disregarded.,,L07E
P3-F1373,DIRECTION FOR THE TIP EXCHANGE(TIME-3)(TIP FORMING ON),,EY1F5
P3-F1098,TIP EXCHANGE DIRECTIONS(TIME-7)(TIP FORMING OFF),,EY0F2
P3-F0708,L3:N11 NORMAL DISPLAY,,
P3-F0394,L7:S3 NO CONNECTION,,EY1D5
P3-F0097,OUTPUT SELECTED SIGNAL,,
P3-F3661,P1 COMMUNICATION ALARM,,
P3-F3352,L3(PC-LINK):S9 NORMAL DISPLAY,,
P3-F2582,DEFAULT VALUE ROBOT SETTING,,L163
P3-F2395,SET MATERIAL HAND ABNORMAL BIT,,L164
P3-F2054,ADMIT OPERATION SETTING ADDRESS,,
P3-F1262,WRITE BACK DATA,,
P3-F1196,CYCLE TIME (PROCESS COMPLETION) R/B-38,,EY274
P3-F1086,LIGHTING OF TIME-5 LAMP(TIP FORMING OFF),,EY195
P3-F0382,CALCULATE INDIRECT ADDRESS OVER 1000,,
P3-F0294,END OF CYCLE TIME R/B15,,EY005
P3-F0272,END OF CYCLE TIME R/B4,,EY12A
P3-F0151,MANUAL OPERATION SW21-TIM20,,
P3-F3561,INFORMATION OF MAIN CONTROL BOX IS TRNSMITTED TO ANDON,,
P1-F0086,AC040 END,,
P1-F0214,INTERLOCK DISPLAY TO MAIN(2),,
P1-F0241,AC023 END,,
P1-F0279,MAIN INTERLOCK 1,,
P1-F0296,MAIN INTERLOCK 2,,
P1-F0330,R/B-6 CYCLE TIME(COMPLETION) TO ANDON,,
P1-F0365,POWER SUPPLY FAULT,,
P1-F0371,PRO.IND.MEMORY INITIAL(SECOND),,
P1-F0429,INTERLOCK TO AGV,,
P1-F0545,GM MASK (SAFETY/S),,
P1-F0594,MOTION 6 TIME (RET),,
P1-F0604,MOTION 11 TIME (RET),,
P1-F0612,MOTION 15 TIME (RET),,
P1-F0635,MOTION 22 TIME (ADV),,
P1-F0657,MOTION 33 TIME (ADV),,
P1-F0664,MOTION 36 TIME (RET),,
P1-F0688,MOTION 48 TIME (RET),,
EK822,PARTS PICK-UP R/B 1st START<EK822>,,
EK830,LUGE LOCK IN COMMAND(SFC),,
EKA19,AREA 2 PROCESS OPERATING,,
EK831,LUGE LOCK OUT COMMAND(SFC),,
EKA0F,AREA 1 FOOL-PROOF OFF PB,,
EKA18,AREA 2 LAMP CHECK,,
EK836,UN01 LOCATOR SHIFT UP COMMAND(SFC),,
EKA08,AREA 1 LAMP CHECK,,
EKA1A,AREA 2 MANUAL OPERATION CONDITION (MODE+AUX),,
EK837,UN01 LOCATOR SHIFT DOWN COMMAND(SFC),,
EKA09,AREA 1 PROCESS OPERATING,,
EKA0D,AREA 1 ERROR RESET INSTRUCTION (MANU MODE+AUX),,
EKA39,MAIN AREA ALL STATION PROCESS OPERATING,,
EK834,VISION START COMMAND(SFC),,
EK843,ID SWING RET. <EK843>,,
EKA06,AREA 1 RETURN PB,,
EKA0E,AREA 1 ERROR RESET PB,,
EKA1C,AREA 2 COMPLETE RESET INSTRUCTION,,
EKA38,MAIN AREA LAMP CHECK SW,,
EK803,MATEHAN R/B-1 2nd START COMMAND(SFC),,
EK842,ID SWING ADV. <EK842>,,
EKA07,AREA 1 HOME POS. RETURN PB,,
EKA0B,AREA 1 JIG HOME POS.,,
EKA1B,AREA 2 JIG HOME POS.,,
EKA20,AREA 3 AUTO MODE,,
EK802,MATEHAN R/B-1 1st START COMMAND(SFC),,
EK841,AGV LOCK UNLOCK<EK841>,,
EKA04,AREA 1 POWER ON,,
EKA0C,AREA 1 COMPLETE RESET INSTRUCTION,,
EKA1E,AREA 2 ERROR RESET PB,,
EKA21,AREA 3 MANUAL MODE,,
EK801,WELD R/B 2nd START COMMAND(EK801),,
EK840,AGV LOCK LOCK<EK840>,,
EKA05,AREA 1 ADVANCE PB,,
EKA1D,AREA 2 ERROR RESET INSTRUCTION (MANU MODE+AUX),,
EKA22,AREA 3 SINGLE CYCLE MODE,,
EKA2A,AREA 3 MANUAL OPERATION CONDITION (MODE+AUX),,
EK800,WELD R/B 1st START COMMAND(EK800),,
EK838,UN01 LOCATOR PINCLAMP CLAMP COMMAND(SFC),,
EKA02,AREA 1 SINGLE CYCLE MODE,,
EKA0A,AREA 1 MANUAL OPERATION CONDITION (MODE+AUX),,
EKA23,AREA 3 MASTER ON COMPLETED,,
EKA2B,AREA 3 JIG HOME POS.,,
EKA3C,MAIN AREA UNUSED,,
EK839,UN01 LOCATOR PINCLAMP UNCLAMP COMMAND(SFC),,
EKA03,AREA 1 MASTER ON COMPLETED,,
EKA11,AREA 2 MANUAL MODE,,
EKA1F,AREA 2 FOOL-PROOF OFF PB,,
EKA24,AREA 3 POWER ON,,
EKA2C,AREA 3 COMPLETE RESET INSTRUCTION,,
EKA33,MAIN AREA ALL MASTER ON COMPLETED,,
EKA3B,MAIN AREA UNUSED,,
EK810,LIFTER R/B START COMMAND(SFC),,
EKA00,AREA 1 AUTO MODE,,
EKA10,AREA 2 AUTO MODE,,
EKA25,AREA 3 ADVANCE PB,,
EKA2D,AREA 3 ERROR RESET INSTRUCTION (MANU MODE+AUX),,
EKA32,MAIN AREA ALL STATION AUTO MODE,,
EKA3A,MAIN AREA UNUSED,,
EKA01,AREA 1 MANUAL MODE,,
EKA13,AREA 2 MASTER ON COMPLETED,,
EKA26,AREA 3 RETURN PB,,
EKA2E,AREA 3 ERROR RESET PB,,
EKA31,MAIN AREA TRANSFER MANUAL MODE,,
EK812,MATEHAN R/B-2 1st START COMMAND(SFC),,
EKA12,AREA 2 SINGLE CYCLE MODE,,
EKA27,AREA 3 HOME POS. RETURN PB,,
EKA2F,AREA 3 FOOL-PROOF OFF PB,,
EKA30,MAIN AREA TRANSFER AUTO MODE,,
EK813,MATEHAN R/B-2 2nd START COMMAND(SFC),,
EKA15,AREA 2 ADVANCE PB,,
EKA37,MAIN AREA UNUSED,,
EKA3F,MAIN AREA EMERGENCY STOP,,
EK821,AGV LOCK UNLOCK COMMAND (SFC),,
EKA14,AREA 2 POWER ON,,
EKA28,AREA 3 LAMP CHECK,,
EKA36,MAIN AREA RETURN PB,,
EKA3E,MAIN AREA ERROR RESET PB,,
EK820,LIFTER R/B START COMMAND(SFC),,
EK832,RAIL LOCK OUT COMMAND(SFC),,
EKA17,AREA 2 HOME POS. RETURN PB,,
EKA29,AREA 3 PROCESS OPERATING,,
EKA35,MAIN AREA ADVANCE PB,,
EKA3D,MAIN AREA ERROR RESET INSTRUCTION (TRANSFER MANU MODE),,
EK823,PARTS PICK-UP R/B 2nd START<EK823>,,
EK833,RAIL LOCK IN COMMAND(SFC),,
EKA16,AREA 2 RETURN PB,,
EKA34,MAIN AREA ALL POWER ON,,
EVE11,RMT. RACK I/O MODULE FAULT,,
EVE27,AGV EXIT MUTING,,
EVE1E,PCS TOTAL COMMUNICATION FAULT,,
EVE26,AGV ENTRANC MUTING,,
EVE38,AGV EXIT MUTING SENSOR 5,,
EVE25,SUPPLY POWER ON,,
EVE39,AGV EXIT MUTING SENSOR 6,,
EVE24,MASTER ON,,
EVE2E,AGV EXIT MUTING SENSOR FAULT,,
EVE0E,RMT1  FAN   ALARM1,,
EVE23,AGV EXIT SIDE LIGHT CURTAIN INPUT,,
EVE2D,AGV ENTRANC MUTING SENSOR FAULT,,
EVE08,MAIN CONTROL BOX  EMERGENCY STOP NORMAL,,
EVE0D,CPU   FAN   ALARM2,,
EVE22,AGV ENTRANC SIDE LIGHT CURTAIN INPUT,,
EVE2C,AGV EXIT EMERGENCY STOP,,
EVE21,AGV EXIT LIGHT CURTAIN HUMAN INVASION,,
EVE2B,AGV ENTRANCE EMERGENCY STOP,,
EVE0F,RMT1  FAN   ALARM2,,
EVE20,AGV ENTRANCE LIGHT CURTAIN HUMAN INVASION,,
EVE2A,#2(EVEN SIDE) TOWER LIGHT ON CONDITION,,
EVE05,EMERGENCY STOP NORMAL 1 (FROM DP-1),,
EVE30,AGV ENTRANCE MUTING SENSOR 1,,
EVE04,SAFETY PLC TOTAL READ BACK FAULT,,
EVE0C,CPU FAN ALARM 1,,
EVE31,AGV ENTRANCE MUTING SENSOR 2,,
EVE07,LIGHT CURTAIN NORMAL 1 (FROM DP-1),,
EVE32,AGV ENTRANCE MUTING SENSOR 3,,
EVE06,DOOR SW NORMAL 1 (FROM DP-1),,
EVE33,AGV ENTRANCE MUTING SENSOR 4,,
EVE3A,AGV EXIT MUTING SENSOR 7,,
EVE00,SAFETY PLC RUN,,
EVE3B,AGV EXIT MUTING SENSOR 8,,
EVE03,SAFETY PLC TOTAL COMM.FAULT,,
EVE1F,PCS TOTAL READ BACK FAULT,,
EVE29,PROTECTIVE FENCE DOOR SW,,
EVE02,SAFETY PLC FAULT,,
EVE10,PCS CPU RACK I/O MODULE FAULT,,
EVE28,PROTECTIVE FENCE EMERGENCY STOP,,
EL0028,OUT9,,
EL0036,OUT23,,
EL003C,OUT29,,
EL009E,IN 7,,
EL0300,SAFETY PLC REMOTE I/O INTALOCK1/3 PL,,
EL0333,SPARE,,
EL033B,056 CARD FAULT,,
EL0029,OUT10,,
EL0035,OUT22,,
EL003B,OUT28,,
EL009D,IN 6,,
EL00A9,IN 18,,
EL0303,PROFIBUS COMMUNICATION FAULT,,
EL0334,SPARE,,
EL033C,064 CARD FAULT,,
EL0034,OUT21,,
EL003A,OUT27,,
EL00A8,IN 17,,
EL00B4,IN 29,,
EL0302,SAFETY PLC TOTAL FAULT,,
EL0335,SPARE,,
EL033D,080 CARD FAULT,,
EL002D,OUT14,,
EL0033,OUT20,,
EL009F,IN 8,,
EL00AE,IN 23,,
EL00B5,IN 30,,
EL0305,SPARE,,
EL0336,SPARE,,
EL033E,096 CARD FAULT,,
EL0024,OUT5,,
EL002E,OUT15,,
EL0032,OUT19,,
EL009A,IN 3,,
EL00AD,IN 22,,
EL00B6,IN 31,,
EL0304,READ BACK FAULT,,
EL0337,SPARE,,
EL033F,112 CARD FAULT,,
EL0025,OUT6,,
EL002F,OUT16,,
EL0031,OUT18,,
EL00B7,IN 32,,
EL0307,SAFETY PLC SELF DIAGNOSIS,,
EL0338,008 CARD FAULT,,
EL0360,SAFETY PLC REMOTE I/O INTALOCK3/3 PL,,
EL03A0,PROFIBUS SLAVE 5 COMMUNICATION FAULT,,
EL0026,OUT7,,
EL0030,OUT17,,
EL009C,IN 5,,
EL00A5,IN 14,,
EL00AF,IN 24,,
EL00B0,IN 25,,
EL0306,SPARE,,
EL0339,024 CARD FAULT,,
EL0027,OUT8,,
EL009B,IN 4,,
EL00A4,IN 13,,
EL00AA,IN 19,,
EL00B1,IN 26,,
EL0020,OUT1,,
EL002A,OUT11,,
EL0099,IN 2,,
EL00A7,IN 16,,
EL00B2,IN 27,,
EL0021,OUT2,,
EL002B,OUT12,,
EL0098,IN 1,,
EL00A6,IN 15,,
EL00AC,IN 21,,
EL00B3,IN 28,,
EL0400,SAFETY PLC -> TOYOPUC INTERLOCK STATE PL,,
EL0022,OUT3,,
EL002C,OUT13,,
EL00A1,IN 10,,
EL00AB,IN 20,,
EL0023,OUT4,,
EL00A0,IN 9,,
EL00A3,IN 12,,
EL00A2,IN 11,,
EL0039,OUT26,,
EL003F,OUT32,,
EL0330,SAFETY PLC REMOTE I/O INTALOCK2/3 PL,,
EL0460,TOYOPUC -> SAFETY PLC INTERLOCK STATE PL,,
EL0038,OUT25,,
EL003E,OUT31,,
EL0331,PROFIBUS SLAVE11.12 FAULT,,
EL0037,OUT24,,
EL003D,OUT30,,
EL0301,BATTERY VOLTAGE DECREASE,,
EL0332,SPARE,,
EL033A,040 CARD FAULT,,
EX01D,,,EY01D
EX037,CAR TYPE BCD 80 (MATEHAN R/B-1),,EY037
EX03D,CAR TYPE BCD 20 (MATEHAN R/B-2),,EY03D
EX044,CAR TYPE BCD 10 (MATEHAN R/B-3),,EY044
