P2-K108,CONNECTION 9 OPEN NORMAL,,Y033
P3-F1183,FREQUENCY OF ALARM 3,,
P3-F1490,CYCLE TIME HOME POSITION R/B-8,,
P3-F2849,PC link child office setup is disregarded.,,
P3-F0418,P2-L6:N5 NORMAL DISPLAY,,
P3-F1083,TIP EXCHANGE SCREEN,,
P3-F3063,DISPLAY MEMORY ADDRESS EXTENSION ,,
P3-F2051,FIGURE RISE ROBOT R/L COMPARISON,,
P3-F0517,P3 COMMUNICATION ALARM,,
P3-F0946,TIP EXCHANGE DIRECTIONS (TIME-3),,
P3-F0505,DISPLAY P1-L3 ERROR CODE,,
P3-F1946,INDIRECT ADDRESS ADDITION,,
P3-F0070,R/B-2 HOME POSITION,,
P3-F0747,L5:N11 NORMAL DISPLAY,,
P3-F0857,P2-L4:S2 DISCONNECTION DISPLAY,,
P3-F1703,P2-L7:S6 DISCONNECTION DISPLAY,,
P3-F3050,DISPLAY MEMORY ADDRESS EXTENSION ,,
P3-F2291,TRANSFER ADDRESS DISPLAY,,
P3-F1934,ADDRESS EXTENSION TRANSFER,,
P3-F0339,CYCLE TIME (END OF PROCESS) R/B-30 (TIMER VALUE),,
P3-F0603,L1:S14 NORMAL DISPLAY,,
P3-F0812,L8:S6 DISCONNECTION DISPLAY,,
P3-F0977,COUNTER JUDGMENT EFFECTIVE or VOID ,,
P3-F1515,CYCLE TIME PROCESS COMPLETION RB-15,,
P3-F2191,PC link child office setup is disregarded.,,
P3-F3319,L3(PC-LINK):S2 ALARM DISPLAY,,
P3-F1955,BIT POSITION TRANSFER,,
P3-F2659,SETTING VALUE EXTRACTION,,
P3-F1878,EXTRACTION BIT STATUS,,
P3-F0206,MANUAL OPERATION SW60-TIM59,,
P3-F0349,CYCLE TIME (END OF PROCESS) R/B-3,,
P3-F0437,CYCLE TIME (HOME POSITION) R/B-15,,
P3-F0723,L3:N11 NORMAL DISPLAY,,
P3-F0789,L7:N14 ALARM DISPLAY,,
P3-F0877,P2-L4:S7 DISCONNECTION DISPLAY,,
P3-F0888,OPEN CONFIRMATION WINDOW,,
P3-F1438,L4:S4 NORMAL DISPLAY,,
P3-F1558,R/B25 HOME POSITION,,
P3-F2768,PC link child office setup is disregarded.,,
P3-F1844,FREQUENCY OF ALARM 34,,
P3-F0018,LINK 1. 2-BYTE DESIGNATION,,
P3-F0106,TURN OFF SELECTED PL,,
P3-F0546,P2-L6 NO ERROR,,
P3-F0612,L1:S21 ALARM DISPLAY,,
P3-F0645,L1:S45 DISCONNECTION DISPLAY,,TR1010
P3-F0733,L3:N16 NORMAL DISPLAY,,
P3-F1404,R/B-11 PROCESS COMPLETION,,
P3-F2090,STORE THE BUTTON DATA FOR SELECTING ROBOT (MATERIAL HAND2-No7~3-No10),,
P3-F3328,L3(PC-LINK):S4 DISCONNECTION DISPLAY,,
P3-F2525,CALCULATION INDIRECT ADDRESS ROBOT R/L,,
P3-F2536,EXTRACT ROBOT SPECIFICATION,,
P3-F0622,L1:S23 NO CONNECTION,,
P3-F0864,P2-L4:S4 ALARM DISPLAY,,
P3-F0930,DISPLAY ADDRESS,,
P3-F1117,CONFIRMATION OF 4ST TIP EXCHANGE COMPLETED (TIP FORMING OFF) ,,
P3-F1523,CYCLE TIME (HOME POSITION) R/B-42,,
P3-F2238,PC link child office setup is disregarded.,,
P3-F2821,PC link child office setup is disregarded.,,
P3-F3217,TRANSFER PACEMAKER1 U20EB,,
P3-F0027,WRITE CN3 INITIAL DATA IN FILE MEMORY,,
P3-F0115,CLEAR LOCATION STORED ENTRY STATE,,
P3-F0126,RETURNED PL LAMP ON/BLINK STATE,,
P3-F0313,CYCLE TIME (END OF PROCESS) R/B-17 (TIMER VALUE),,
P3-F0676,L2:N2 ALARM DISPLAY,,
P3-F0984,COUNTER JUDGMENT EFFECTIVE or VOID ,,
P3-F1017,TIME -1 LAMP ON,,
P3-F1303,INITIAL VALUE OF HEXADECIMAL PART OF INDIRECT ADDRESS,,
P3-F0466,CHANGE TO COMMUNICATION ALARM SCREEN,,
P3-F1698,P2-L7:S5 ALARM DISPLAY,,
P3-F2314,ADDRESS EXTENSION TRANSFER,,
P3-F2666,EXTRACTION BIT POSITION,,
P3-F1973,CLEAR BIT POSITION,,
P3-F2006,EXTRACTION BIT POSITION,,
P3-F0037,LINK 1. 2 BYTES,,
P3-F0048,READ MODEL CODE (FIRST VEHICLE),,
P3-F0224,FREQUENCY (H) OF MANUAL (2/3)TIME OVER,,
P3-F0257,CLOSE ADVANCE CONFIRMATION WINDOW,,
P3-F0774,L7:N1 NORMAL DISPLAY,,
P3-F0796,L8:S2 DISCONNECTION DISPLAY,,
P3-F1126,TIP EXCHANGE TIME OUT,,
P3-F1412,R/B-3 HOME POSITION,,
P3-F1664,EX.CAR TYPE INFORMATION DYAPLAY TERIMINAL6,,
P3-F2148,PC link child office setup is disregarded.,,
P3-F3039,DISPLAY MEMORY ADDRESS,,
P3-F2269,BIT POSITION TRANSFER,,
P3-F2544,SHIFT ROBOT No.,,
P3-F2115,TRANSFER ANDON INFORMATION,,
P3-F1158,Setting number of transfer data: FL-Net communication area for processes[18d words] (P3-R312~P3-R31F),,
P3-F1169,P2-L4:S24 NO CONNECTION,,
P3-F1246,R/B-7 HOME POSITION,,
P3-F1323,L6:S6 ALARM DISPLAY,,
P3-F3611,DATA SELECT CLEAR,,
P3-F3633,ID6 SELECTING DISPLAY,,
P3-F3357,L3(PC-LINK):S10 NORMAL DISPLAY,,
P3-F1740,P2-L8:S5 NO CONNECTION,,
P3-F2587,SET TRANSFER VALUE(0h),,
P3-F2598,L PROCESS ROBOT FAILURE EXTRACTION,,
P3-F2631,L LOCATING ROBOT CONNECTION EXTRACTION,,
P3-F0277,ROBOT STATE LAMP,,
P3-F0651,L1:S47 NORMAL DISPLAY,,
P3-F1278,BASE OF INDIRECT ADDRESS FOR DESTINATION OF TRANSFER,,
P3-F1333,L6:S9 NORMAL DISPLAY,,
P3-F1344,L6:S11 NO CONNECTION,,
P3-F3621,ID2 SELECTING DISPLAY,,
P3-F1640,TERMINAL1 RECONSTRUCTION,,
P3-F3378,L3(PC-LINK):S14 DISCONNECTION DISPLAY,,
P3-F0364,L4:N8 NORMAL DISPLAY,,
P3-F3026,DISPLAY MEMORY ADDRESS EXTENSION ,,
P3-F2685,EXTRACTION BIT STATUS,,
P3-F2498,EXTRACT ROBOT R/L,,
P3-F3235,TRANSFER PACEMAKER2 U20ED,,
P3-F0397,CYCLE TIME (END OF PROCESS) R/B-27,,
P3-F0661,L1:S49 DISCONNECTION DISPLAY,,
P3-F1672,BASE OF INDIRECT ADDRESS OF CONVERSION TABLE,,
P3-F1562,R/B-25 FAILURE,,
P3-F0495,CALCULATE P3 INDIRECT ADDRESS,,
P3-F2321,BIT POSITION TRANSFER,,
P3-F1881,INDIRECT ADDRESS TRANSFER,,
P3-F2398,SET MATERIAL HAND FAILURE BIT,,
P3-F0198,MANUAL OPERATION SW52-TIM51,,
P3-F0908,CLEAR UPPER 8 BITS,,
P3-F2166,PC link child office setup is disregarded.,,
P3-F2793,SET R LOCATING ROBOT CONNECTION,,
P3-F3200,L LIFTER IN TROUBLE SET COMPLETED (1-32),,
P3-F2430,COUNT UP COUNT2,,
P3-F0175,MANUAL OPERATION SW29-TIM28,,
P3-F1198,FREQUENCY OF ALARM 18,,
P3-F1297,UPDATE REPETITION COUNTER,,
P3-F1451,L4:S7 DISCONNECTION DISPLAY,,
P3-F2088,STORE THE BUTTON DATA FOR SELECTING ROBOT (MATERIAL HAND1-No1~2-No6),,
P3-F1791,P2-L5:S10 DISCONNECTION DISPLAY,,
P3-F1819,EX PIF  IN DISCONNECTED STATE PL,,
P3-F3386,FREQUENCY OF ALARM 57,,
P3-F1918,INDIRECT ADDRESS TRANSFER,,
P3-F3155,NOT DISPLAY DEFAULT POPUP,,
P3-F2781,ROBOT R/L COMPARISON INITIAL VALUE,,
P3-F2374,COUNT UP COUNTER1,,
P3-F2077,TRANSFER INDIRECT ADDRESS ID COMMUNICATION LAYOUT ,,
P3-F0130,ADVANCED END PL (MANUAL 1/3),,
P3-F0592,L1:S11 ALARM DISPLAY,,
P3-F0719,L3:N9 NORMAL DISPLAY,,
P3-F1175,FREQUENCY OF ROBOT FAULT,,
P3-F1461,DIRECTION FOR THE TIP EXCHANGE (MANU.-6) (TIP FORMING ON),,
P3-F1829,CONSTANT 80,,
P3-F2252,TRANSFER INDIRECT ADDRESS,,
P3-F2285,BIT POSITION TRANSFER,,
P3-F2571,DEFAULT VALUE ROBOT SETTING,,
P3-F2483,TRANSFER PROCESS ROBOT SETTING(1h) ,,
P3-F0481,CHANGE TO ROBOT ALARM SCREEN,,
P3-F0580,L1:S8 ALARM DISPLAY,,
P3-F1130,DIRECTION FOR THE TIP EXCHANGE (TIME -5),,
P2-F4721,To EDC EqDefined Info.ManualOpScreen,,
P2-F1606,I/L-2 STOP POSITION No. CLEAR,,
P2-F3409,CONNECTION 1 RECEPTION DATA CLEAR(RELAY LINK),,
P2-F3507,CONNECTION 7 DATA TRANSFER NUMBER,,
P2-F3490,CONNECTION 6 TRANSMISSION DATA LINK1 32BYTE,,
P2-F4293,I/L-1 STOP POSITION No. CLEAR,,
P2-F1438,STATAS BIT CLEAR,,
P2-F3549,CONNECTION 9 TRANSMISSION DATA TOP FILE MEMORY ADDLESS,,
P2-F3438,CONNECTION 3 DATA TRANSFER NUMBER TO DATA TRANSFER,,
P2-F4417,IN-PROCESS AREA No.,,
P2-F4208,IN-PROCESS AREA No.,,
P2-F2601,FB Library               BPE                      2014.08.15  ,,
P2-F3457,CONNECTION 4 DATA TRANSFER NUMBER TO DATA TRANSFER,,
P2-F2412,I/L-6 STOP POSITION No. CLEAR,,
P2-F3423,CONNECTION 2 RECEPTION DATA TO DATA TRANSFERÅ@DESTINATION TOP ADDLESS,,
P2-F4237,IN-PROCESS AREA No.,,
P2-F1212,STATAS BIT CLEAR,,
P2-F3520,CONNECTION 7 RECEPTION DATA(RELAY LINK),,
P2-F3476,CONNECTION 5 DATA TRANSFER NUMBER TO DATA TRANSFER,,
P2-F2420,I/L-11 STOP POSITION No. CLEAR,,
P2-F1155,STATAS BIT CLEAR,,
P2-F1264,STATAS BIT CLEAR,,
P1-F0454,MOTION 22 TIME (RET),,
P1-F0408,CYCLE_DATA ROBOT CYCLE TIME 2,,
P1-F0394,CHARGER CONTROL,,
P1-F0373,GM MASK (TOTAL),,
P1-F0359,AC031 END,,
P1-F0345,INTERLOCK SITUATION3 PL,,
P1-F0282,LAMP OUTPUT 3,,
P1-F0076,AGV BAY 1B PRODUCTION COUNT,,
P1-F0043,ANDON OUTPUT,,
P1-F0033,AC004 END,,
P3-F3043,DISPLAY MEMORY ADDRESS,,
P3-F2284,TRANSFER INDIRECT ADDRESS,,
P3-F2719,SETTING VALUE EXTRACTION,,
P3-F2570,DEFAULT VALUE ROBOT SETTING,,
P3-F2482,TRANSFER VALUE SET(2h),,
P3-F2031,ROBOT R SETTING EXTRACTION(33-48),,
P3-F0095,TURN OFF SELECTED PL,,
P3-F0480,CHANGE TO WORK PIECE SETTING SCREEN,,
P3-F1508,R/B-9 HOME POSITION,,
P3-F0380,CALCULATE P2 INDIRECT ADDRESS,,
P3-F1084,OPEN CONFIRMATION WINDOW,,
P3-F3053,DISPLAY MEMORY ADDRESS,,
P3-F3141,DISPLAY MEMORY ADDRESS EXTENSION ,,
P3-F2580,DEFAULT VALUE ROBOT SETTING,,
P3-F0270,READ MODEL CONVERSION TABLE 2,,
P3-F0419,CYCLE TIME (HOME POSITION) R/B-6,,
P3-F0947,TIP EXCHANGE DIRECTIONS (TIME-4),,
P3-F1260,P2-L4:S26 ALARM DISPLAY,,
P3-F2618,SET R LOCATING ROBOT FAILURE,,
P3-F0071,R/B-3 HOME POSITION,,
P3-F0209,MANUAL OPERATION SW63-TIM62,,
P3-F0748,L5:N11 ALARM DISPLAY,,
P3-F1182,FREQUENCY OF ALARM 2,,
P3-F3381,ST INFORMATION(NODE 100),,
P3-F2848,PC link child office setup is disregarded.,,
P3-F2292,TRANSFER INDIRECT ADDRESS,,
P3-F1935,ADDRESS INDICATION TRANSFER,,
P3-F0516,P2 COMMUNICATION ALARM,,
P3-F0813,L8:S6 ALARM DISPLAY,,
P3-F2209,PC link child office setup is disregarded.,,
P3-F1714,P2-L7:S9 ALARM DISPLAY,,
P3-F1747,P2-L8:S7 DISCONNECTION DISPLAY,,
P3-F0867,P2-L4:S5 NORMAL DISPLAY,,
P3-F1208,FREQUENCY OF ALARM 28,,
P3-F1559,CYCLE TIME PROCESS COMPLETION RB-29,,
P3-F2406,PC link child office setup is disregarded.,,
P3-F2769,PC link child office setup is disregarded.,,
P3-F1702,P2-L7:S6 ALARM DISPLAY,,
P3-F1845,FREQUENCY OF ALARM 35,,
P3-F2747,CLEAR BIT POSITION,,
P3-F2070,EXTRACTION PALLET ID No ,,
P3-F0019,INDIRECT ADDRESS DESIGNATION OF DFD0,,
P3-F0107,TURN OFF ALL SELECTED SIGNALS,,
P3-F0338,CYCLE TIME (HOME POSITION) R/B-29 (TIMER VALUE),,
P3-F0547,DISPLAY P2-L7 ERROR CODE,,
P3-F0602,L1:S13 NO CONNECTION,,
P3-F0613,L1:S21 DISCONNECTION DISPLAY,,
P3-F0976,COUNTER JUDGMENT EFFECTIVE or VOID ,,
P3-F1405,R/B-12 PROCESS COMPLETION,,
P3-F2091,INDIRECT START ADDRESS OF THE AREA STORING CAR TYPE,,
P3-F0502,P1-L1 NO ERROR,,
P3-F2317,BIT POSITION TRANSFER,,
P3-F0469,CYCLE TIME (HOME POSITION) R/B-31,,
P3-F0568,L1:S5 ALARM DISPLAY,,
P3-F0777,L7:N2 ALARM DISPLAY,,
P3-F1239,R/B-16 PROCESS COMPLETION,,
P3-F2190,VALIDATE 12 BIT(EX PIF),,
P3-F2239,PC link child office setup is disregarded.,,
P3-F0127,RETURNED PL LAMP ON/BLINK (1/3),,
P3-F0644,L1:S45 ALARM DISPLAY,,TR1009
P3-F0677,L2:N3 NORMAL DISPLAY,,
P3-F0732,L3:N15 ALARM DISPLAY,,
P3-F0985,R/B1-32TIP EXCHANGE DIRECTIONS (TIP FORMING OFF),,
P3-F1534,CYCLE TIME PROCESS COMPLETION RB-21,,
P3-F2139,PC link child office setup is disregarded.,,
P3-F3327,L3(PC-LINK):S4 NORMAL DISPLAY,,
P3-F0434,P2-L6:N10 ALARM DISPLAY,,
P3-F1688,P2-L7:S2 NO CONNECTION,,
P3-F2568,DEFAULT VALUE ROBOT SETTING,,
P3-F2502,SET LOCATING ROBOT DISPLAY(1-32),,
P3-F1941,START OF LOOP,,
P3-F0577,L1:S7 DISCONNECTION DISPLAY,,
P3-F0621,L1:S23 DISCONNECTION DISPLAY,,
P3-F0720,L3:N9 ALARM DISPLAY,,
P3-F0874,P2-L4:S6 NO CONNECTION,,
P3-F1369,DIRECTION FOR THE TIP EXCHANGE (TIME-7) (TIP FORMING OFF),,
P3-F1665,EX.CAR TYPE INTERCHANGE DYSPLAY TERMINAL1,,
P3-F2149,PC link child office setup is disregarded.,,
P3-F2820,PC link child office setup is disregarded.,,
P3-F2545,ADDITION STORAGE INDIRECT ADDRESS,,
P3-F3216,TRANSFER PACEMAKER1 U20EA,,
P3-F0026,WRITE CN3 INITIAL DATA IN FILE MEMORY,,
P3-F0114,CLEAR KEY ENTRY STATE,,
P3-F0312,CYCLE TIME (HOME POSITION) R/B-16 (TIMER VALUE),,
P3-F1016,TIP EXCHANGE TIME ON & OFF ,,
P3-F1159,Offset qty calculation: Communication area suitable for node number identification and node number,,
P3-F1247,1ST FAULT,,
P3-F1302,OFFSET OF INDIRECT ADDRESS (P3),,
P3-F1488,CYCLE TIME HOME POSITION R/B-7,,
P3-F1620,R/B57-HOME POSITION,,
P3-F2775,PC link child office setup is disregarded.,,
P3-F1114,TIP EXCHANGE APPLICABLE ROBOT IS FLASHING,,
P3-F0047,WRITE,,
P3-F0443,CYCLE TIME (HOME POSITION) R/B-18,,
P3-F0795,L8:S2 NORMAL DISPLAY,,
P3-F0850,L8:S15 NO CONNECTION,,
P3-F0960,COUNTER JUDGMENT EFFECTIVE or VOID ,,
P3-F1125,COUNTER JUDGMENT EFFECTIVE or VOID ,,
P3-F1411,R/B-2 HOME POSITION,,
P3-F1641,TERMINAL2 RECONSTRUCTION,,
P3-F3379,L3(PC-LINK):S14 ALARM DISPLAY,,
P3-F3027,DISPLAY MEMORY ADDRESS,,
P3-F3038,DISPLAY MEMORY ADDRESS EXTENSION ,,
P3-F2268,TRANSFER INDIRECT ADDRESS,,
P3-F1894,EXTRACTION BIT STATUS,,
P3-F2114,TRANSFER ANDON INFORMATION,,
P3-F0365,CYCLE TIME (END OF PROCESS) R/B-11,,
P3-F1168,P2-L4:S24 DISCONNECTION DISPLAY,,
P3-F1322,L6:S6 DISCONNECTION DISPLAY,,
P3-F3632,ID5 CONNECTION STATUS,,
P3-F1596,CYCLE TIME (HOME POSITION) R/B-52,,
P3-F0496,CALCULATE P3 INDIRECT ADDRESS,,
P3-F1145,FREQUENCY OF ALARM 13,,
P3-F2322,ADDRESS EXTENSION TRANSFER,,
P3-F1882,SETTING VALUE EXTRACTION,,
P3-F2531,TRANSFER ROBOT L SETTING(2h),,
P3-F2597,CLEAR ROBOT R/L SETTING,,
P3-F0034,INDIRECT ADDRESS OF SOURCE OF TRANSFER,,
P3-F0254,SERIAL NUMBER,,
P3-F0595,L1:S12 NORMAL DISPLAY,,
P3-F0909,PRESS OPERATION MODE PB OF DISTINCTION,,
P3-F1343,L6:S11 ALARM DISPLAY,,
P3-F1398,R/B-5 PROCESS COMPLETION,,
P3-F2167,PC link child office setup is disregarded.,,
P3-F0396,L7:S4 ALARM DISPLAY,,
P3-F2684,EXTRACTION BIT POSITION,,
P3-F2431,SET MATERIAL HAND LOADING OK BIT,,
P3-F3234,TRANSFER PACEMAKER2 U20EC,,
P3-F0660,L1:S49 ALARM DISPLAY,,
P3-F1199,FREQUENCY OF ALARM 19,,
P3-F1671,10 KEY INPUT SUBROUTINE CALL,,
P3-F1561,CYCLE TIME HOME POSITION R/B-29,,
P3-F3354,L3(PC-LINK):S9 ALARM DISPLAY,,
P3-F1792,P2-L5:S10 NO CONNECTION,,
P3-F1919,BIT POSITION TRANSFER,,
P3-F2056,SET L LOCATING ROBOT IN TROUBLE COMPLETED,,
P3-F0296,CYCLE TIME (HOME POSITION) R/B-8 (TIMER VALUE),,
P3-F1000,TIME SELECT (SETTING),,
P3-F1176,FREQUENCY OF COMMUNICATION ALARM,,
P3-F1330,L6:S8 DISCONNECTION DISPLAY,,
P3-F2253,BIT POSITION TRANSFER,,
P3-F1929,BIT POSITION TRANSFER,,
P3-F2792,SET L LOCATING ROBOT CONNECTION,,
P3-F2363,MATERIAL HAND COMPARISON REGISTER CLEAR,,
P3-F3012,MATERIAL HAND FAILURE/IF PANEL SETTING EXTRACTION(1-32),,
P3-F0174,MANUAL OPERATION SW28-TIM27,,
P3-F0581,L1:S8 DISCONNECTION DISPLAY,,
P3-F1131,DIRECTION FOR THE TIP EXCHANGE (TIME -3),,
P3-F1296,DELETE FROM LARGER ONE,,
P3-F1450,L4:S7 NORMAL DISPLAY,,
P3-F2819,PC link child office setup is disregarded.,,
P3-F1818,EX PIF IN DISCONNECTED STATE PL,,
P3-F3198,L LOCATING ROBOT IN TROUBLE SET COMPLETED (1-32),,
P3-F0162,MANUAL OPERATION SW16-TIM15,,
P3-F0718,L3:N8 ALARM DISPLAY,,
P3-F0927,BASE OF INDIRECT ADDRESS OF R,,
P2-F4720,To EDC EqDefined Info.StationInput2,,
P2-F4716,EDC CYCLE TIME HOLD VALUE,,
P2-F3385,ETHERNET STATUS LINK1 18BYTE,,
P2-F3033,STOP POS.1 PROCESS DATA TRANSFER,,
P2-F3560,CONNECTION 9 TRANSMISSION AND RECEPTION DATA CLEAR,,Y254
P2-F4285,I/L-1 STOP POSITION No. CLEAR,,
P2-F3491,CONNECTION 6 TRANSMISSION DATA TOP ADDLESS,,
P2-F4261,I/L-1 STOP POSITION No. CLEAR,,
P2-F3408,CONNECTION 1 TRANSMISSION AND RECEPTION DATA CLEAR,,
P2-F3439,CONNECTION 3 TRANSMISSION DATA TO DATA TRANSFER,,
P2-F4209,IN-PROCESS AREA No.,,
P2-F3504,CONNECTION 6 RECEPTION DATA CLEAR(RELAY LINK),,
P2-F4416,IN-PROCESS AREA No.,,
P2-F3458,CONNECTION 4 TRANSMISSION DATA TO DATA TRANSFER,,
P2-F1213,STATAS BIT CLEAR,,
P2-F3555,CONNECTION 9 RECEPTION DATA TOP FILE MEMORY ADDLESS,,X205
P2-F2411,I/L-5 STOP POSITION No. CLEAR,,
P2-F0695,STATAS BIT CLEAR,,
P2-F3521,CONNECTION 7 RECEPTION DATA(REGISTER LINK),,
P2-F3477,CONNECTION 5 TRANSMISSION DATA TO DATA TRANSFER,,
P2-F3422,CONNECTION 2 RECEPTION DATA TOP FILE MEMORY ADDLESS,,
P2-F2421,I/L-12 STOP POSITION No. CLEAR,,
P2-F4236,IN-PROCESS AREA No.,,
P2-F4257,I/L-1 STOP POSITION No. CLEAR,,
P2-F1154,STATAS BIT CLEAR,,
P2-F0928,STATAS BIT CLEAR,,
P1-F0891,UKR1-4 R/B PART PICK COMP. MEMORY AGV BAY 1A,,
P1-F0455,MOTION 23 TIME (ADV),,
P1-F0449,MOTION 20 TIME (ADV),,
P1-F0418,MOTION 5 TIME (ADV),,
P1-F0397,STA_FAULT EVENT DETAILS TRANSFER [PA FAULT CODE],,
P1-F0372,GM MASK (FAULT SPARE),,
P1-F0364,GM MASK (POWER SUPPLY),,
P1-F0358,EVENT MONITOR START,,
P1-F0140,To ANDON 2,,
P1-F0119,INTERLOCK SITUATION2 PL,,
P1-F0042,AC030 END,,
P1-F0003,SFC CONTROL,,
P3-F1085,CLOSE CONFIRMATION WINDOW,,
P3-F2581,DEFAULT VALUE ROBOT SETTING,,
P3-F0271,BASE OF INDIRECT ADDRESS OF CONVERSION TABLE 2 (ON P,,
P3-F0381,CYCLE TIME (END OF PROCESS) R/B-19,,
P3-F0519,DISPLAY P1-L1 ERROR CODE,,
P3-F0717,L3:N8 NORMAL DISPLAY,,
P3-F0915,PRODUCTION COUNT,,
P3-F1261,P2-L4:S26 DISCONNECTION DISPLAY,,
P3-F2718,INDIRECT ADDRESS TRANSFER,,
P3-F0749,L5:N12 NORMAL DISPLAY,,
P3-F1826,MANUAL OPERATION SW72-TIM71,,
P3-F2816,PC link child office setup is disregarded.,,
P3-F2827,PC link child office setup is disregarded.,,
P3-F1738,P2-L8:S5 ALARM DISPLAY,,
P3-F1859,FREQUENCY OF ALARM 49,,
P3-F3052,DISPLAY MEMORY ADDRESS EXTENSION ,,
P3-F2293,BIT POSITION TRANSFER,,
P3-F1936,INDIRECT ADDRESS HEXADECIMAL PART INITIAL VALUE,,
P3-F0814,L8:S6 NO CONNECTION,,
P3-F1715,P2-L7:S9 DISCONNECTION DISPLAY,,
P3-F3392,FREQUENCY OF ALARM 63,,
P3-F3040,DISPLAY MEMORY ADDRESS EXTENSION ,,
P3-F0208,MANUAL OPERATION SW62-TIM61,,
P3-F1209,FREQUENCY OF ALARM 29,,
P3-F1291,CARRIED INDIRECT ADDRESS OF DESTINATION OF TRANSFER,,
P3-F3380,L3(PC-LINK):S14 NO CONNECTION,,
P3-F0944,P2-L4:S1 NO CONNECTION,,
P3-F1846,FREQUENCY OF ALARM 36,,
P3-F1868,INDIRECT ADDRESS TRANSFER,,
P3-F2071,TRANSFER PALLET CONSECUTIVE NUMBERS,,
P3-F3072,INTERLOCK STATE 4 PL,,
P3-F0328,CYCLE TIME (HOME POSITION) R/B-24 (TIMER VALUE),,
P3-F0647,L1:S46 NORMAL DISPLAY,,
P3-F0999,DISPLAY OF SELECTION TIME ,,
P3-F1406,R/B-13 PROCESS COMPLETION,,
P3-F1428,L4:S1 ALARM DISPLAY,,
P3-F3617,ID SELECT STATE MEMORY,,
P3-F0503,DISPLAY P1-L2 ERROR CODE,,
P3-F2208,PC link child office setup is disregarded.,,
P3-F1746,P2-L8:S7 ALARM DISPLAY,,
P3-F0569,L1:S5 DISCONNECTION DISPLAY,,
P3-F0866,P2-L4:S4 NO CONNECTION,,
P3-F1635,READ MODEL CODE (EX 6 VEHICLE),,
P3-F1646,EX CAR TYPE TRANSFER,,
P3-F1701,P2-L7:S6 NORMAL DISPLAY,,
P3-F2669,CLEAR BIT POSITION,,
P3-F2009,CLEAR BIT POSITION,,
P3-F2559,DEFAULT VALUE ROBOT SETTING,,
P3-F0117,TURN OFF SELECTED PL,,
P3-F0667,L1:S51 NORMAL DISPLAY,,
P3-F0678,L2:N3 ALARM DISPLAY,,
P3-F0821,L8:S8 ALARM DISPLAY,,
P3-F0920,DEVICE SELECTION PL,,
P3-F0975,COUNTER JUDGMENT EFFECTIVE or VOID ,,
P3-F1535,R/B-17 CYCLE TIME MEASUREMENT END,,
P3-F0468,CHANGE TO ALARM SCREEN,,
P3-F1689,P2-L7:S3 NORMAL DISPLAY,,
P3-F2316,TRANSFER INDIRECT ADDRESS,,
P3-F2569,DEFAULT VALUE ROBOT SETTING,,
P3-F2503,STORE INDIRECT ADDRESS ROBOT NODE DISPLAY (DE00),,
P3-F0435,CYCLE TIME (HOME POSITION) R/B-14,,
P3-F0721,L3:N10 NORMAL DISPLAY,,
P3-F0776,L7:N2 NORMAL DISPLAY,,
P3-F0875,P2-L4:S7 NORMAL DISPLAY,,
P3-F1238,R/B-15 PROCESS COMPLETION,,
P3-F1655,TRANSFE,,
P3-F1666,EX.CAR TYPE INTERCHANGE DYSPLAY TERMINAL2,,
P3-F3338,L3(PC-LINK):S6 DISCONNECTION DISPLAY,,
P3-F2733,EXTRACTION BIT STATUS,,
P3-F2744,EXTRACTION BIT POSITION,,
P3-F2546,SHIFT ROBOT R/L COMPARISON,,
P3-F0104,CLEAR LOCATION STORED ENTRY STATE,,
P3-F0379,CYCLE TIME (END OF PROCESS) R/B-18,,
P3-F0533,DISPLAY P1-L8 ERROR CODE,,
P3-F0544,P2-L5 NO ERROR,,TR1113
P3-F0610,L1:S15 NO CONNECTION,,
P3-F1215,CONSTANT 72,,
P3-F1325,L6:S7 NORMAL DISPLAY,,
P3-F1457,L4:S8 NO CONNECTION,,
P3-F3635,ID6 CONNECTION STATUS,,
P3-F1489,CYCLE TIME PROCESS COMPLETION RB-8,,
P3-F1621,CYCLE TIME (PROCESS COMPLETION) R/B-61,,
P3-F2138,PC link child office setup is disregarded.,,
P3-F3326,ST INFORMATION(NODE 100),,
P3-F1940,MASKING OF AFTER CONVERSION DATA,,
P3-F0576,L1:S7 ALARM DISPLAY,,
P3-F0620,L1:S23 ALARM DISPLAY,,
P3-F0851,P2-L4:S1 NORMAL DISPLAY,,
P3-F0961,COUNTER JUDGMENT EFFECTIVE or VOID ,,
P3-F1115,COUNTER JUDGMENT EFFECTIVE or VOID ,,
P3-F1368,DIRECTION FOR THE TIP EXCHANGE (TIME-6) (TIP FORMING ON),,
P3-F2236,PC link child office setup is disregarded.,,
P3-F2874,L LOCATING ROBOT FAILURE/IF PANEL SETTING EXTRACTION,,
P3-F2401,SET MATERIAL HAND COMPLETED BIT,,
P3-F3215,TRANSFER PACEMAKER1 U20E9,,
P3-F3237,TRANSFER PACEMAKER2 U20EF,,
P3-F0058,WORK PIECE SETTING CONFIRMATION LAMP,,
P3-F0311,CYCLE TIME (END OF PROCESS) R/B-16 (TIMER VALUE),,
P3-F1015,DISPLAY FOR TIP EXCHANGE TIME,,
P3-F1301,OFFSET OF INDIRECT ADDRESS (P1),,
P3-F1597,R/B49-HOME POSITION,,
P3-F0497,P1 COMMUNICATION ALARM,,
